query_type,method,P@1,R@1,nDCG@1,P@5,R@5,nDCG@5,P@10,R@10,nDCG@10,MRR,MAP@10
query_abstract_snippet,bm25,1.0,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,1.0,1.0
query_abstract_snippet,exact_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_abstract_snippet,minilm,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.12,0.6,0.5223326335667979,0.06533333333333334,0.6533333333333333,0.5396833556671284,0.5094762768020153,0.5038320105820107
query_abstract_snippet,tfidf,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.2,1.0,0.993412396714286,0.1,1.0,0.993412396714286,0.991111111111111,0.991111111111111
query_keywords_freq,bm25,1.0,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,1.0,1.0
query_keywords_freq,exact_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_keywords_freq,minilm,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.16733333333333333,0.8366666666666667,0.796678801340761,0.08733333333333335,0.8733333333333333,0.8084637978110853,0.7912165387686578,0.7880396825396826
query_keywords_freq,tfidf,0.99,0.99,0.99,0.2,1.0,0.9952053543721494,0.1,1.0,0.9952053543721494,0.993611111111111,0.993611111111111
query_noisy_title,bm25,0.8766666666666667,0.8766666666666667,0.8766666666666667,0.19466666666666668,0.9733333333333334,0.9317243132866329,0.098,0.98,0.9339632201662788,0.9195521245833747,0.9185277777777778
query_noisy_title,exact_match,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.004666666666666667,0.023333333333333334,0.023333333333333334,0.0023333333333333335,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334
query_noisy_title,minilm,0.8366666666666667,0.8366666666666667,0.8366666666666667,0.18533333333333335,0.9266666666666666,0.8868248805102237,0.095,0.95,0.894607588956448,0.8784332338063162,0.8767380952380951
query_noisy_title,tfidf,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.14733333333333334,0.7366666666666667,0.6560783935592622,0.08,0.8,0.6770375860114665,0.6449191928897954,0.6381997354497354
